species_model_name,ebird_code,top_k,n_nodes,n_nodes_with_known_site,hit_rate_pct,median_total_incoming_flow,max_total_incoming_flow,median_distance_to_known_site_km
Calidris tenuirostris,grekno,25,25,8,32.0,1390.9172249359838,2786.044549480302,35.99301097821513
Calidris tenuirostris,grekno,50,50,11,22.0,921.9567033546618,2786.044549480302,35.67983821260414
Calidris tenuirostris,grekno,100,100,21,21.0,644.8471521934007,2786.044549480302,35.41595693696436
Calidris tenuirostris,grekno,150,150,29,19.33333333333333,443.80737661456334,2786.044549480302,35.41595693696436
Calidris tenuirostris,grekno,200,200,36,18.0,313.5760628479801,2786.044549480302,33.18838839062196
Calidris tenuirostris,grekno,300,300,41,13.666666666666666,172.3280207555934,2786.044549480302,33.94264432322371
Limosa lapponica,batgod,25,25,8,32.0,809.891783889868,1915.317316798326,35.54789757478425
Limosa lapponica,batgod,50,50,14,28.000000000000004,578.1054887635419,1915.317316798326,35.54789757478425
Limosa lapponica,batgod,100,100,24,24.0,319.8300598082338,1915.317316798326,34.67930063009403
Limosa lapponica,batgod,150,150,34,22.666666666666664,211.1514045053355,1915.317316798326,34.67930063009403
Limosa lapponica,batgod,200,200,40,20.0,159.63259845484063,1915.317316798326,33.400900033082
Limosa lapponica,batgod,300,300,46,15.333333333333332,77.02664308274079,1915.317316798326,33.400900033082
Numenius madagascariensis,faecur,25,25,4,16.0,445.2486758634277,731.9419551877216,36.30272061836767
Numenius madagascariensis,faecur,50,50,6,12.0,295.99494737570046,731.9419551877216,36.30272061836767
Numenius madagascariensis,faecur,100,100,15,15.0,186.48968047403653,731.9419551877216,33.94264432322371
Numenius madagascariensis,faecur,150,150,24,16.0,115.98057367831774,731.9419551877216,33.18838839062196
Numenius madagascariensis,faecur,200,200,33,16.5,72.68682038119778,731.9419551877216,30.449887616061627
Numenius madagascariensis,faecur,300,300,46,15.333333333333332,31.05138006485878,731.9419551877216,30.80057157920572
